CLS_NBR,Course Subject Code,PRSN_UNIV_ID,ACAD_TERM_CD,GRANT_ID
13306,BUS,2003610343,4158,1
30360,BUS,2002196475,4158,2
30369,BUS,2002178374,4158,3
29675,BUS,2007643987,4162,3
29676,BUS,2003212177,4162,2
31322,BUS,2008505227,4162,2
2607,BUS,2004322721,4165,3
2609,BUS,2004144804,4165,2
6404,CHEM,2007826668,4168,2
11023,CHEM,2005399777,4168,1
32147,CHEM,200432482,4168,3
8138,CHEM,2008560239,4172,2
8203,CHEM,2001870239,4172,1
15289,CHEM,2004498265,4175,2
8159,CHEM,2001582525,4178,3
9630,CHEM,2002631320,4178,3
30644,CHEM,20088883,4178,2
33306,CHEM,2008627203,4178,2
11063,CHEM,2002744687,4182,3
30483,CHEM,2009927046,4182,2
32370,CHEM,2006888046,4182,2
6179,CHEM,2007211814,4185,1
6207,CHEM,2005430642,4185,3
7703,CHEM,2009876162,4188,2
4698,CHEM,2001309783,4178,1
10984,CHEM,200491898,4178,2
32497,CHEM,2001888575,4178,3
32724,CHEM,2001436449,4178,3
4711,CHEM,2007072937,4182,2
13561,CHEM,2007117246,4182,2
35456,CHEM,2002724856,4182,3
4093,CHEM,2002820355,4185,2
31494,CHEM,2008309438,4188,2
36453,CHEM,2007259269,4188,1
36454,CHEM,2005197296,4188,3
8904,CHEM,2006633294,4088,2
8907,CHEM,2001896411,4088,1
8912,CHEM,2001021663,4088,2
9045,CHEM,2008040305,4088,3
15307,CHEM,200186197,4088,3
29470,CHEM,2001061276,4088,2
6422,CHEM,2007968960,4092,2
6509,CHEM,2005335995,4092,3
6841,CHEM,2005975452,4092,2
6929,CHEM,2008069727,4092,2
10999,CHEM,2009815747,4092,1
11307,CHEM,2001157448,4092,3
2102,CHEM,2001387983,4095,2
13383,CHEM,2009872096,4095,1
2527,CHEM,2003096788,4098,2
2823,CHEM,2006228835,4098,3
12035,CHEM,2002573148,4098,3
28229,CHEM,2006101948,4098,2
6698,CHEM,2001579655,4102,2
6699,CHEM,20025912,4102,3
14999,CHEM,2005663204,4102,2
25031,CHEM,2006846288,4128,2
25109,CHEM,2008926706,4128,1
29774,CHEM,2002423733,4128,3
30174,CHEM,2004250891,4132,2
30343,CHEM,2003393012,4132,1
32887,CHEM,2002783734,4132,2
10719,CHEM,2004865288,4135,3
12387,CHEM,200364823,4135,3
2521,CHEM,2003927342,4138,2
6418,CHEM,2004074412,4138,2
6950,CHEM,2007651824,4138,3
8664,CHEM,2009384923,4138,2
12982,CHEM,2009325026,4138,2
13203,CHEM,2006214324,4138,1
